old_name,new_name,action
01_第3到第8部分_最终修正版/第3部分_文本分析总设计/（3.5）可选监督分类增强/PPP_deep_autocoding_bestmodel_v1.csv,01_第3到第8部分_最终修正版/第3部分_文本分析总设计/（3.5）可选监督分类增强/PPP_deep_autocoding_bestmodel_v2_四级十二类_实际执行版.csv,rename_v3
01_第3到第8部分_最终修正版/第3部分_文本分析总设计/（3.5）可选监督分类增强/PPP_deep_autocoding_bestmodel_v1.dta,01_第3到第8部分_最终修正版/第3部分_文本分析总设计/（3.5）可选监督分类增强/PPP_deep_autocoding_bestmodel_v2_四级十二类_实际执行版.dta,rename_v3
01_第3到第8部分_最终修正版/第3部分_文本分析总设计/（3.5）可选监督分类增强/PPP_supervised_autocoding_v1.csv,01_第3到第8部分_最终修正版/第3部分_文本分析总设计/（3.5）可选监督分类增强/PPP_supervised_autocoding_v2_四级十二类_实际执行版.csv,rename_v3
01_第3到第8部分_最终修正版/第3部分_文本分析总设计/（3.5）可选监督分类增强/PPP_supervised_autocoding_v1.dta,01_第3到第8部分_最终修正版/第3部分_文本分析总设计/（3.5）可选监督分类增强/PPP_supervised_autocoding_v2_四级十二类_实际执行版.dta,rename_v3
01_第3到第8部分_最终修正版/第3部分_文本分析总设计/（3.5）可选监督分类增强/PPP_第3部分可选监督分类环节_V1.xlsx,01_第3到第8部分_最终修正版/第3部分_文本分析总设计/（3.5）可选监督分类增强/PPP_第3部分可选监督分类环节_V2_四级十二类_实际执行版.xlsx,rename_v3
01_第3到第8部分_最终修正版/第3部分_文本分析总设计/（3.5）可选监督分类增强/PPP_第3部分深度学习终版增强_V1.xlsx,01_第3到第8部分_最终修正版/第3部分_文本分析总设计/（3.5）可选监督分类增强/PPP_第3部分深度学习终版增强_V2_四级十二类_实际执行版.xlsx,rename_v3
01_第3到第8部分_最终修正版/第3部分_文本分析总设计/（3.5）可选监督分类增强/train_deep_supervised_enhancement_final_v1.py,01_第3到第8部分_最终修正版/第3部分_文本分析总设计/（3.5）可选监督分类增强/train_deep_supervised_enhancement_final_v2.py,rename_v3
01_第3到第8部分_最终修正版/第3部分_文本分析总设计/（3.5）可选监督分类增强/train_optional_supervised_classifier_v1.py,01_第3到第8部分_最终修正版/第3部分_文本分析总设计/（3.5）可选监督分类增强/train_optional_supervised_classifier_v2.py,rename_v3
01_第3到第8部分_最终修正版/第4部分_文本变量构造/（4.1-4.4）文本变量构造与输出/build_ppp_text_variables_v1.py,01_第3到第8部分_最终修正版/第4部分_文本变量构造/（4.1-4.4）文本变量构造与输出/build_ppp_text_variables_v2.py,rename_v3
01_第3到第8部分_最终修正版/第4部分_文本变量构造/（4.1-4.4）文本变量构造与输出/prepare_ppp_text_vars_for_stata_v1.do,01_第3到第8部分_最终修正版/第4部分_文本变量构造/（4.1-4.4）文本变量构造与输出/prepare_ppp_text_vars_for_stata_v2_四级十二类_实际执行版.do,rename_v3
